-0.177,-0.483,9.641,1.0
-0.191,-0.478,9.632,1.0
-0.208,-0.462,9.629,1.0
-0.215,-0.466,9.639,1.0
-0.222,-0.447,9.644,1.0
-0.234,-0.418,9.641,1.0
-0.227,-0.445,9.653,1.0
-0.217,-0.433,9.699,1.0
-0.205,-0.423,9.706,1.0
-0.21,-0.435,9.735,1.0
-0.234,-0.402,9.771,1.0
-0.258,-0.39,9.773,1.0
-0.272,-0.385,9.768,1.0
-0.294,-0.373,9.799,1.0
-0.289,-0.375,9.809,1.0
-0.304,-0.356,9.804,1.0
-0.308,-0.32,9.814,1.0
-0.316,-0.306,9.806,1.0
-0.311,-0.299,9.811,1.0
-0.289,-0.275,9.847,1.0
-0.275,-0.26,9.885,1.0
-0.26,-0.239,9.885,1.0
-0.277,-0.217,9.888,1.0
-0.335,-0.169,9.888,1.0
-0.339,-0.148,9.89,1.0
-0.344,-0.153,9.89,1.0
-0.375,-0.126,9.905,1.0
-0.39,-0.141,9.95,1.0
-0.407,-0.181,10,1.0
-0.349,-0.229,10.075,1.0
-0.323,-0.292,10.075,1.0
-0.294,-0.375,10.034,1.0
-0.249,-0.387,10.084,1.0
-0.225,-0.33,10.079,1.0
-0.155,-0.289,10.082,1.0
-0.143,-0.21,10.015,1.0
-0.227,-0.155,9.943,1.0
-0.296,-0.129,9.924,1.0
-0.385,-0.143,9.89,1.0
-0.466,-0.16,9.888,1.0
-0.488,-0.201,9.888,1.0
-0.533,-0.249,9.902,1.0
-0.579,-0.263,9.924,1.0
-0.574,-0.28,9.919,1.0
-0.579,-0.308,9.912,1.0
-0.521,-0.38,9.888,1.0
-0.49,-0.43,9.866,1.0
-0.471,-0.462,9.809,1.0
-0.462,-0.478,9.816,1.0
-0.483,-0.478,9.823,1.0
-0.502,-0.44,9.828,1.0
-0.512,-0.452,9.828,1.0
-0.512,-0.43,9.838,1.0
-0.49,-0.426,9.833,1.0
-0.49,-0.426,9.833,1.0
-0.521,-0.399,9.826,1.0
-0.543,-0.39,9.838,1.0
-0.509,-0.349,9.826,1.0
-0.514,-0.344,9.838,1.0
-0.519,-0.337,9.842,1.0
