0.272,0.088,9.682
0.299,0.102,9.706
0.28,0.112,9.756
0.229,0.105,9.785
0.177,0.1,9.787
0.095,0.124,9.833
0.074,0.112,9.881
0.05,0.1,9.888
0.026,0.095,9.888
0,0.102,9.905
-0.016,0.105,9.938
-0.021,0.102,9.938
-0.031,0.095,9.926
-0.04,0.107,9.936
-0.035,0.11,9.924
-0.031,0.129,9.914
-0.016,0.134,9.919
-0.023,0.136,9.929
-0.028,0.141,9.957
-0.023,0.124,9.955
-0.031,0.122,9.948
-0.016,0.126,9.953
-0.011,0.129,9.976
0.002,0.141,9.988
0.04,0.155,10.012
0.067,0.143,10.051
0.081,0.162,10.07
0.153,0.167,10.101
0.205,0.177,10.139
0.237,0.184,10.163
0.258,0.181,10.199
0.277,0.184,10.24
0.28,0.162,10.247
0.289,0.169,10.271
0.284,0.165,10.273
0.27,0.146,10.273
0.244,0.131,10.269
0.217,0.088,10.264
0.203,0.081,10.23
0.181,0.081,10.218
0.153,0.069,10.187
0.105,0.055,10.149
0.074,0.055,10.115
0.064,0.045,10.084
0.009,0.052,10.048
-0.011,0.05,10.034
-0.055,0.047,9.976
-0.081,0.05,9.924
-0.079,0.057,9.902
-0.083,0.052,9.838
-0.083,0.052,9.838
-0.033,0.081,9.778
0.011,0.1,9.761
0.064,0.098,9.713
0.114,0.122,9.68
0.165,0.138,9.615
0.251,0.165,9.581
0.342,0.193,9.543
0.375,0.217,9.517
0.426,0.227,9.462
0.505,0.244,9.466
0.548,0.244,9.45
0.61,0.246,9.428
0.629,0.239,9.438
0.656,0.265,9.435
0.691,0.258,9.431
0.684,0.265,9.426
0.684,0.253,9.419
0.703,0.253,9.411
0.658,0.263,9.419
0.653,0.27,9.411
0.586,0.263,9.426
0.538,0.26,9.433
0.462,0.253,9.447
0.411,0.253,9.447
0.323,0.256,9.466
0.277,0.225,9.474
0.15,0.203,9.5
0.069,0.186,9.555
0.028,0.162,9.581
0.023,0.16,9.598
0.011,0.155,9.624
0.004,0.15,9.653
0.014,0.15,9.67
0.067,0.174,9.699
0.102,0.16,9.739
0.143,0.179,9.763
