0.775,-1.211,8.073
0.763,-1.213,8.08
0.782,-1.237,8.13
0.799,-1.245,8.138
0.806,-1.261,8.109
0.814,-1.254,8.095
0.83,-1.233,8.068
0.883,-1.211,8.078
0.905,-1.185,8.071
0.921,-1.175,8.107
0.94,-1.163,8.102
0.945,-1.166,8.121
1.019,-1.187,8.114
1.098,-1.206,8.078
1.137,-1.228,8.068
1.235,-1.324,8.066
1.316,-1.403,8.044
1.35,-1.465,8.039
1.443,-1.537,8.061
1.503,-1.644,8.035
1.551,-1.671,8.016
1.611,-1.74,7.968
1.616,-1.793,7.879
1.604,-1.819,7.812
1.527,-1.922,7.644
1.527,-1.922,7.644
1.489,-1.956,7.628
1.417,-2.025,7.582
1.307,-2.094,7.597
1.235,-2.106,7.613
1.07,-2.135,7.647
0.897,-2.152,7.709
0.718,-2.152,7.743
0.634,-2.15,7.824
0.433,-2.152,7.963
0.27,-2.109,8.123
0.198,-2.09,8.217
0.059,-2.02,8.384
-0.095,-1.941,8.585
-0.213,-1.891,8.676
-0.395,-1.798,8.877
-0.55,-1.697,9.079
-0.586,-1.635,9.177
-0.624,-1.565,9.368
-0.682,-1.532,9.596
-0.708,-1.539,9.737
-0.742,-1.549,9.914
-1.594,-1.841,25.484
-1.307,-1.553,21.622
-0.931,-1.048,16.539
-1.443,-0.476,16.92
-1.187,-0.253,14.889
-0.89,-0.064,16.257
-0.684,0.021,15.737
-0.656,0.062,15.002
-0.727,0.045,15.002
-0.758,0.009,14.578
-0.814,-0.124,13.819
-0.794,-0.169,13.173
-0.598,-0.287,12.5
-0.459,-0.356,12.287
-0.418,-0.383,12.184
-0.332,-0.509,11.262
-0.311,-0.639,11.363
-0.292,-0.732,10.989
-0.172,-0.964,11.183
-0.043,-1.218,11.116
-0.007,-1.347,11.111
0.047,-1.534,11.506
0.011,-1.683,11.219
-0.038,-1.771,11.363
-0.057,-1.968,11.162
-0.1,-2.166,11.109
-0.098,-2.274,11.116
-0.114,-2.387,10.7
-0.179,-2.502,10.738
-0.191,-2.547,10.472
-0.177,-2.631,10.292
-0.181,-2.703,10.099
-0.198,-2.755,9.924
-0.217,-2.786,9.888
-0.304,-2.851,9.469
-0.148,-2.743,9.213
-0.023,-2.734,9.117
0.143,-2.638,9.21
0.143,-2.638,9.21
0.093,-2.588,8.942
-0.007,-2.456,8.846
-0.146,-2.343,8.7
-0.169,-2.272,8.657
-0.213,-2.152,8.832
-0.203,-2.075,8.882
-0.232,-2.004,9.079
-0.253,-1.872,9.273
-0.196,-1.726,9.548
-0.165,-1.642,9.622
-0.05,-1.486,9.821
0.069,-1.347,9.931
0.117,-1.271,9.996
0.282,-1.156,10.185
0.44,-1.063,10.261
0.493,-1.015,10.326
0.608,-0.943,10.4
0.723,-0.883,10.446
0.775,-0.845,10.41
0.809,-0.818,10.386
0.835,-0.775,10.362
0.847,-0.735,10.266
0.849,-0.732,10.233
0.828,-0.735,10.113
0.811,-0.775,9.996
0.794,-0.775,9.945
0.747,-0.816,9.883
0.672,-0.871,9.785
0.572,-0.933,9.651
0.572,-0.933,9.651
0.514,-1.003,9.548
0.476,-1.015,9.507
0.411,-1.055,9.435
0.342,-1.084,9.344
0.32,-1.103,9.335
0.294,-1.156,9.299
0.275,-1.194,9.244
0.284,-1.213,9.225
0.249,-1.276,9.174
0.258,-1.321,9.126
0.27,-1.347,9.088
0.296,-1.405,9.035
0.337,-1.46,8.949
0.356,-1.484,8.918
0.397,-1.515,8.851
0.442,-1.568,8.753
0.512,-1.594,8.693
0.533,-1.611,8.65
0.605,-1.668,8.585
0.651,-1.719,8.533
0.684,-1.723,8.509
0.718,-1.769,8.487
0.763,-1.817,8.47
0.77,-1.834,8.463
0.785,-1.862,8.466
0.818,-1.901,8.451
0.806,-1.901,8.458
0.778,-1.922,8.504
0.72,-1.893,8.542
0.691,-1.886,8.573
0.679,-1.867,8.616
0.622,-1.817,8.66
0.6,-1.788,8.712
0.557,-1.735,8.765
0.519,-1.675,8.863
0.5,-1.642,8.899
0.469,-1.587,9.012
0.423,-1.529,9.103
0.414,-1.458,9.22
0.385,-1.431,9.275
0.373,-1.355,9.402
0.361,-1.285,9.507
0.368,-1.254,9.56
0.373,-1.199,9.696
0.373,-1.134,9.799
0.38,-1.106,9.845
0.354,-1.046,9.888
0.361,-1.027,9.962
0.351,-1.01,10.003
0.351,-0.974,10.072
0.351,-0.969,10.125
0.359,-0.952,10.137
0.366,-0.938,10.158
0.39,-0.986,10.175
0.407,-0.986,10.185
0.387,-1.015,10.166
0.387,-1.053,10.139
0.397,-1.082,10.118
0.397,-1.132,10.027
0.397,-1.132,10.027
0.385,-1.158,9.986
0.375,-1.185,9.955
0.366,-1.213,9.909
0.325,-1.249,9.888
0.299,-1.259,9.876
0.246,-1.3,9.806
0.205,-1.336,9.735
0.186,-1.35,9.692
0.143,-1.393,9.605
0.102,-1.441,9.522
0.1,-1.448,9.493
0.076,-1.467,9.416
0.081,-1.503,9.361
0.074,-1.501,9.318
0.069,-1.527,9.261
0.069,-1.577,9.229
0.071,-1.596,9.225
0.083,-1.62,9.225
0.112,-1.664,9.21
0.122,-1.685,9.179
0.153,-1.707,9.215
0.177,-1.723,9.217
0.191,-1.733,9.244
0.205,-1.728,9.253
0.217,-1.726,9.294
0.229,-1.731,9.296
0.232,-1.711,9.344
0.234,-1.668,9.387
0.222,-1.594,9.476
0.227,-1.577,9.517
0.208,-1.544,9.536
0.196,-1.486,9.603
0.198,-1.47,9.627
0.193,-1.388,9.684
0.217,-1.347,9.763
0.213,-1.321,9.804
0.21,-1.273,9.878
0.196,-1.252,9.888
0.201,-1.221,9.895
0.201,-1.185,9.936
0.186,-1.166,9.974
0.198,-1.134,9.984
0.225,-1.108,10
0.227,-1.106,10.024
0.227,-1.11,10.032
0.229,-1.108,10.048
0.225,-1.12,10.058
0.217,-1.137,10.039
0.232,-1.154,10.036
0.203,-1.192,9.991
0.208,-1.185,9.964
0.21,-1.225,9.909
